id,tool_name,frequency_id
23,R,Most of the time
24,C,Most of the time
24,MATLAB,Most of the time
24,Python,Sometimes
24,R,Often
24,Unix,Often
25,R,Often
25,SASBase,Sometimes
25,SQL,Most of the time
26,Amazon_ML,Often
26,AWS,Most of the time
26,Hadoop,Often
26,IBMSPSSModeler,Sometimes
26,IBMSPSSStatistics,Sometimes
26,Jupyter,Most of the time
26,Azure,Sometimes
26,Excel,Sometimes
26,No_SQL,Often
26,Python,Most of the time
26,Qlik,Sometimes
26,R,Most of the time
26,SAPBusiness_Objects,Often
26,SASBase,Sometimes
26,SASEnterprise,Sometimes
26,Spark,Sometimes
26,SQL,Most of the time
26,Tableau,Sometimes
26,Unix,Often
27,No_SQL,Rarely
27,Perl,Sometimes
27,SQL,Rarely
27,Unix,Often
27,Select1,Most of the time
28,Jupyter,Sometimes
28,Azure,Often
28,Excel,Most of the time
28,Microsoft_SQL,Sometimes
28,R,Most of the time
28,SQL,Sometimes
29,AWS,Sometimes
29,C,Rarely
29,Jupyter,Sometimes
29,MATLAB,Sometimes
29,Python,Most of the time
29,SQL,Sometimes
29,Tensor_Flow,Most of the time
29,Unix,Sometimes
30,Amazon_ML,Rarely
30,AWS,Rarely
30,C,Most of the time
30,Jupyter,Often
30,MATLAB,Often
30,Azure,Rarely
30,Microsoft_RServer,Rarely
30,Python,Most of the time
30,R,Most of the time
30,Tensor_Flow,Often
30,Unix,Most of the time
31,C,Sometimes
31,MATLAB,Sometimes
31,Python,Most of the time
31,SQL,Often
31,Tensor_Flow,Often
32,Microsoft_RServer,Sometimes
32,R,Often
32,SQL,Most of the time
33,AWS,Sometimes
33,Jupyter,Most of the time
33,Python,Most of the time
33,R,Often
33,SQL,Often
33,Tensor_Flow,Rarely
33,Unix,Sometimes
34,KNIMEFree,Rarely
34,Python,Sometimes
34,R,Most of the time
34,SQL,Most of the time
34,Tableau,Often
35,C,Rarely
35,IBMWatson,Rarely
35,Java,Most of the time
35,Azure,Sometimes
35,No_SQL,Often
35,Python,Most of the time
35,R,Sometimes
35,SQL,Most of the time
35,Tensor_Flow,Often
35,Unix,Most of the time
36,Python,Often
36,R,Often
36,Rapid_Miner_Free,Rarely
37,Python,Rarely
37,R,Most of the time
38,C,Sometimes
38,Microsoft_SQL,Sometimes
38,Python,Sometimes
38,R,Most of the time
38,SQL,Sometimes
39,AWS,Most of the time
39,Hadoop,Often
39,Python,Most of the time
39,Unix,Most of the time
40,AWS,Often
40,Jupyter,Often
40,Python,Most of the time
40,R,Sometimes
40,Tensor_Flow,Sometimes
40,Unix,Most of the time
41,Cloudera,Most of the time
41,Flume,Often
41,Hadoop,Often
41,IBMSPSSModeler,Rarely
41,IBMSPSSStatistics,Sometimes
41,Impala,Most of the time
41,Python,Often
41,R,Most of the time
41,Rapid_Miner_Free,Rarely
41,SASBase,Sometimes
41,SASEnterprise,Sometimes
41,SASJMP,Rarely
41,Spark,Most of the time
41,SQL,Most of the time
42,C,Sometimes
42,Jupyter,Rarely
42,MATLAB,Rarely
42,Python,Most of the time
42,Tensor_Flow,Often
42,Unix,Often
43,Angoss,Rarely
43,GCP,Most of the time
43,Jupyter,Most of the time
43,Python,Most of the time
43,R,Rarely
43,SASEnterprise,Sometimes
43,Spark,Rarely
43,SQL,Often
43,Tableau,Sometimes
43,Tensor_Flow,Often
43,Unix,Sometimes
44,Amazon_ML,Sometimes
44,AWS,Sometimes
44,Jupyter,Most of the time
44,No_SQL,Most of the time
44,Python,Most of the time
44,Tensor_Flow,Most of the time
44,Unix,Most of the time
46,C,Sometimes
46,Java,Most of the time
46,MATLAB,Rarely
46,Python,Often
46,Tensor_Flow,Often
47,Oracle,Sometimes
47,Rapid_Miner_Commercial,Often
47,Stan,Most of the time
48,Select1,Most of the time
49,C,Rarely
49,Flume,Rarely
49,GCP,Most of the time
49,Julia,Rarely
49,Jupyter,Sometimes
49,Python,Often
49,R,Often
49,SQL,Often
49,Tensor_Flow,Sometimes
50,IBMWatson,Sometimes
50,Orange,Rarely
50,Python,Rarely
50,R,Most of the time
50,Rapid_Miner_Free,Rarely
50,Tableau,Sometimes
51,Jupyter,Most of the time
51,Tensor_Flow,Most of the time
51,Unix,Most of the time
52,C,Rarely
52,Jupyter,Most of the time
52,Python,Most of the time
52,SQL,Sometimes
52,Tensor_Flow,Most of the time
53,Hadoop,Rarely
53,IBMSPSSModeler,Sometimes
53,IBMSPSSStatistics,Sometimes
53,Python,Most of the time
53,R,Most of the time
53,Tensor_Flow,Often
54,C,Often
54,Java,Rarely
54,MATLAB,Most of the time
54,Python,Most of the time
55,C,Rarely
55,Jupyter,Most of the time
55,Python,Most of the time
55,Unix,Most of the time
56,Hadoop,Often
56,Jupyter,Most of the time
56,Python,Most of the time
56,R,Sometimes
56,Spark,Often
56,SQL,Often
56,Tableau,Often
57,Rapid_Miner_Commercial,Most of the time
58,C,Rarely
58,Java,Rarely
58,MATLAB,Rarely
58,Python,Sometimes
58,SQL,Most of the time
59,AWS,Sometimes
59,Java,Often
59,Jupyter,Most of the time
59,Python,Most of the time
59,SQL,Most of the time
59,Tensor_Flow,Often
59,Unix,Most of the time
60,R,Most of the time
61,C,Often
61,Jupyter,Often
61,MATLAB,Sometimes
61,Python,Most of the time
61,Select1,Often
62,AWS,Most of the time
62,Python,Most of the time
62,R,Most of the time
63,C,Most of the time
63,Java,Sometimes
63,Jupyter,Sometimes
63,Mathematica,Sometimes
63,Perl,Most of the time
63,Python,Sometimes
63,R,Most of the time
63,SQL,Sometimes
63,Tableau,Sometimes
64,AWS,Most of the time
64,C,Rarely
64,Jupyter,Often
64,Python,Most of the time
64,R,Sometimes
64,SQL,Most of the time
64,Tableau,Sometimes
64,Tensor_Flow,Sometimes
64,Unix,Often
65,C,Often
65,MATLAB,Most of the time
65,Python,Most of the time
66,Azure,Sometimes
66,No_SQL,Most of the time
66,SQL,Most of the time
66,Tableau,Often
67,R,Most of the time
67,SAPBusiness_Objects,Rarely
68,C,Rarely
68,Jupyter,Often
68,Mathematica,Sometimes
68,MATLAB,Often
68,No_SQL,Sometimes
68,Python,Most of the time
68,R,Often
68,SASBase,Sometimes
68,SASEnterprise,Sometimes
68,SQL,Often
68,Unix,Often
69,Java,Often
69,No_SQL,Sometimes
69,Python,Often
69,R,Often
69,SQL,Rarely
69,Unix,Often
70,Python,Sometimes
70,R,Rarely
70,SASBase,Most of the time
71,AWS,Often
71,Cloudera,Sometimes
71,MATLAB,Often
71,No_SQL,Most of the time
71,SQL,Most of the time
71,Tensor_Flow,Often
72,Amazon_ML,Rarely
72,Cloudera,Rarely
72,Hadoop,Sometimes
72,Jupyter,Often
72,Excel,Rarely
72,Python,Most of the time
72,R,Most of the time
72,SASBase,Often
72,Spark,Sometimes
72,SQL,Most of the time
72,Tensor_Flow,Rarely
73,AWS,Sometimes
73,GCP,Often
73,IBMWatson,Sometimes
73,Jupyter,Most of the time
73,MATLAB,Rarely
73,Python,Most of the time
73,Tensor_Flow,Most of the time
73,Select1,Most of the time
74,AWS,Sometimes
74,C,Rarely
74,GCP,Most of the time
74,Jupyter,Often
74,No_SQL,Most of the time
74,Python,Often
74,R,Rarely
74,Spark,Sometimes
74,SQL,Often
74,Tensor_Flow,Most of the time
74,Unix,Most of the time
75,R,Most of the time
75,SASBase,Often
75,SQL,Often
76,C,Rarely
76,MATLAB,Most of the time
77,Hadoop,Rarely
77,Java,Often
77,MATLAB,Sometimes
77,Python,Most of the time
77,R,Most of the time
78,R,Often
79,Excel,Often
79,R,Often
79,SQL,Most of the time
80,Jupyter,Most of the time
80,Excel,Often
80,Python,Most of the time
80,R,Often
80,Tableau,Sometimes
80,Unix,Most of the time
81,SASBase,Most of the time
82,Hadoop,Sometimes
82,Java,Most of the time
82,No_SQL,Sometimes
82,R,Most of the time
82,Rapid_Miner_Free,Sometimes
82,SQL,Most of the time
83,Jupyter,Most of the time
83,Azure,Sometimes
83,Python,Often
83,SQL,Most of the time
84,Excel,Most of the time
84,R,Most of the time
85,AWS,Rarely
85,C,Most of the time
85,MATLAB,Rarely
85,Python,Often
85,Select1,Most of the time
86,Java,Rarely
86,Jupyter,Most of the time
86,Python,Most of the time
86,R,Sometimes
86,Spark,Rarely
86,Tensor_Flow,Rarely
86,Select1,Rarely
87,Flume,Often
87,GCP,Often
87,Java,Rarely
87,Julia,Rarely
87,Jupyter,Sometimes
87,Python,Often
87,SQL,Sometimes
87,Tensor_Flow,Often
87,Unix,Often
88,Jupyter,Most of the time
88,Python,Most of the time
88,R,Most of the time
88,Rapid_Miner_Free,Sometimes
88,Tensor_Flow,Sometimes
89,Hadoop,Rarely
89,Python,Sometimes
89,R,Sometimes
89,SQL,Most of the time
89,Tableau,Often
90,AWS,Most of the time
90,R,Most of the time
91,C,Rarely
91,Hadoop,Rarely
91,Jupyter,Often
91,Mathematica,Rarely
91,MATLAB,Sometimes
91,Python,Often
91,R,Often
91,Spark,Sometimes
91,Tensor_Flow,Sometimes
92,C,Most of the time
93,Jupyter,Most of the time
93,Python,Most of the time
93,R,Sometimes
93,SQL,Most of the time
93,Unix,Sometimes
94,Amazon_ML,Sometimes
94,Julia,Often
94,Jupyter,Most of the time
94,Python,Most of the time
94,R,Often
94,Rapid_Miner_Commercial,Rarely
95,AWS,Often
95,GCP,Rarely
95,Unix,Often
96,Angoss,Often
96,C,Most of the time
96,Microsoft_RServer,Rarely
96,Microsoft_SQL,Most of the time
96,R,Most of the time
96,Statistica,Most of the time
96,TIBCO,Sometimes
96,Select2,Rarely
97,AWS,Sometimes
97,GCP,Sometimes
97,Hadoop,Rarely
97,Jupyter,Often
97,Python,Most of the time
97,Tensor_Flow,Most of the time
97,Unix,Most of the time
98,SQL,Most of the time
98,Tableau,Most of the time
99,MATLAB,Sometimes
99,Python,Sometimes
99,R,Sometimes
99,SASBase,Most of the time
99,SASJMP,Often
100,AWS,Sometimes
100,GCP,Rarely
100,Jupyter,Often
100,Python,Often
100,R,Often
100,Spark,Sometimes
100,SQL,Often
100,Select1,Most of the time
101,KNIMEFree,Often
101,Excel,Sometimes
101,R,Sometimes
101,SQL,Sometimes
101,Tableau,Most of the time
102,AWS,Rarely
102,R,Most of the time
102,SQL,Rarely
102,Tableau,Rarely
103,C,Most of the time
103,Java,Sometimes
103,Perl,Rarely
103,Rapid_Miner_Free,Most of the time
103,SQL,Most of the time
103,Unix,Often
104,IBMCognos,Often
104,IBMSPSSModeler,Most of the time
104,R,Sometimes
104,SQL,Most of the time
105,C,Most of the time
105,Jupyter,Rarely
105,Python,Sometimes
105,R,Often
105,SQL,Rarely
105,Unix,Most of the time
106,Hadoop,Rarely
106,Jupyter,Most of the time
106,Python,Most of the time
106,Tableau,Sometimes
106,TIBCO,Sometimes
107,Java,Rarely
107,Jupyter,Often
107,MATLAB,Sometimes
107,Azure,Rarely
107,Excel,Sometimes
107,Python,Most of the time
107,R,Most of the time
107,Spark,Rarely
107,SQL,Sometimes
107,Tensor_Flow,Sometimes
108,R,Often
109,C,Rarely
109,Jupyter,Sometimes
109,Python,Most of the time
109,R,Most of the time
109,SQL,Often
109,Tensor_Flow,Most of the time
110,IBMSPSSStatistics,Sometimes
110,Python,Often
110,R,Often
110,SASBase,Often
111,C,Rarely
111,MATLAB,Rarely
111,Python,Sometimes
112,IBMCognos,Sometimes
112,MATLAB,Sometimes
112,R,Most of the time
112,Salfrod,Sometimes
112,SASBase,Often
112,TIBCO,Often
113,Java,Often
113,Jupyter,Often
113,SQL,Often
114,R,Most of the time
114,SAPBusiness_Objects,Often
114,Select1,Often
114,Select2,Sometimes
115,C,Sometimes
115,Jupyter,Sometimes
115,Python,Most of the time
115,SQL,Often
115,Stan,Often
115,Tensor_Flow,Rarely
115,Unix,Often
116,C,Often
116,Jupyter,Sometimes
116,Excel,Often
116,Minitab,Rarely
116,Python,Often
116,R,Often
116,SQL,Most of the time
116,Tensor_Flow,Sometimes
116,Unix,Most of the time
117,R,Often
117,Select1,Rarely
118,Python,Often
119,Python,Most of the time
119,Spark,Rarely
120,Jupyter,Often
120,MATLAB,Rarely
120,Python,Most of the time
120,SQL,Sometimes
120,Unix,Often
121,C,Rarely
121,Jupyter,Sometimes
121,Python,Most of the time
121,Stan,Sometimes
121,Unix,Often
122,C,Often
122,Java,Often
122,Microsoft_SQL,Often
122,Oracle,Often
122,Perl,Sometimes
122,Python,Sometimes
122,R,Most of the time
122,SAPBusiness_Objects,Most of the time
122,SASBase,Most of the time
122,SASEnterprise,Most of the time
122,SQL,Most of the time
122,Tableau,Most of the time
123,AWS,Rarely
123,Julia,Rarely
123,No_SQL,Sometimes
123,Perl,Sometimes
123,Python,Sometimes
123,R,Most of the time
123,SASBase,Most of the time
123,SQL,Most of the time
123,Tableau,Rarely
124,Orange,Sometimes
124,Python,Most of the time
124,R,Rarely
124,SQL,Most of the time
124,Select1,Rarely
125,GCP,Sometimes
125,Jupyter,Rarely
125,Microsoft_RServer,Rarely
125,Python,Sometimes
125,R,Most of the time
126,C,Sometimes
126,Jupyter,Sometimes
126,MATLAB,Rarely
126,No_SQL,Sometimes
126,Python,Often
126,SQL,Often
126,Tensor_Flow,Sometimes
127,AWS,Most of the time
127,No_SQL,Most of the time
127,Python,Often
127,SQL,Often
127,Tensor_Flow,Most of the time
128,Java,Often
128,No_SQL,Sometimes
128,Oracle,Rarely
128,Perl,Sometimes
128,Python,Often
128,R,Often
129,AWS,Sometimes
129,Jupyter,Sometimes
129,MATLAB,Often
129,Python,Sometimes
129,Qlik,Sometimes
129,R,Sometimes
129,Rapid_Miner_Free,Sometimes
129,SASEnterprise,Often
129,TIBCO,Sometimes
129,Select1,Most of the time
131,C,Sometimes
131,Python,Rarely
131,R,Rarely
131,SASBase,Most of the time
131,SASJMP,Sometimes
131,SQL,Most of the time
131,Unix,Rarely
132,C,Sometimes
132,Jupyter,Often
132,Excel,Sometimes
132,No_SQL,Sometimes
132,Python,Most of the time
132,R,Most of the time
132,Unix,Often
133,AWS,Most of the time
133,GCP,Most of the time
133,Java,Rarely
133,Excel,Often
133,No_SQL,Most of the time
133,Python,Most of the time
133,R,Sometimes
133,SQL,Most of the time
133,Tableau,Sometimes
133,Tensor_Flow,Most of the time
134,AWS,Sometimes
134,C,Rarely
134,Java,Sometimes
134,Julia,Rarely
134,Perl,Rarely
134,Python,Most of the time
134,R,Most of the time
134,SQL,Often
134,Tensor_Flow,Sometimes
134,Unix,Most of the time
135,C,Sometimes
135,Jupyter,Most of the time
135,Python,Most of the time
135,R,Sometimes
135,Stan,Sometimes
135,Tensor_Flow,Most of the time
136,AWS,Sometimes
136,C,Rarely
136,Jupyter,Most of the time
136,No_SQL,Rarely
136,Python,Most of the time
136,Tensor_Flow,Most of the time
137,AWS,Sometimes
137,Jupyter,Often
137,Excel,Often
137,Python,Often
137,R,Most of the time
137,SASBase,Sometimes
137,SQL,Often
137,Tableau,Sometimes
138,Python,Sometimes
138,SQL,Sometimes
139,GCP,Most of the time
139,Hadoop,Most of the time
139,Java,Often
139,Jupyter,Often
139,Python,Sometimes
139,Spark,Most of the time
139,SQL,Sometimes
139,Unix,Often
140,AWS,Sometimes
140,Jupyter,Sometimes
140,Mathematica,Often
140,MATLAB,Often
140,Python,Most of the time
140,R,Most of the time
140,Tensor_Flow,Most of the time
141,MATLAB,Rarely
141,Python,Rarely
141,R,Most of the time
142,C,Rarely
142,Java,Sometimes
142,MATLAB,Most of the time
142,Python,Most of the time
142,R,Most of the time
143,R,Most of the time
143,SQL,Most of the time
144,Python,Most of the time
144,R,Often
144,SQL,Most of the time
145,Jupyter,Often
145,Azure,Often
145,No_SQL,Rarely
145,Python,Most of the time
145,R,Most of the time
145,Spark,Rarely
145,SQL,Often
145,Select1,Often
147,Java,Sometimes
147,Excel,Often
147,Python,Often
147,Tensor_Flow,Often
148,Amazon_ML,Rarely
148,AWS,Often
148,Hadoop,Sometimes
148,IBMSPSSModeler,Often
148,No_SQL,Often
148,Python,Often
148,SQL,Often
149,C,Sometimes
149,Java,Sometimes
149,MATLAB,Often
149,R,Sometimes
150,Jupyter,Sometimes
150,Python,Most of the time
150,R,Sometimes
150,SASBase,Sometimes
150,SASEnterprise,Sometimes
150,SQL,Most of the time
151,Java,Sometimes
151,Jupyter,Sometimes
151,MATLAB,Sometimes
151,Excel,Often
151,No_SQL,Sometimes
151,Python,Often
151,R,Most of the time
151,Statistica,Sometimes
151,Unix,Most of the time
152,Cloudera,Often
152,Hadoop,Often
152,Impala,Often
152,Excel,Sometimes
152,Python,Rarely
152,Spark,Often
152,SQL,Most of the time
152,Unix,Most of the time
153,Python,Most of the time
153,SQL,Often
153,Select1,Most of the time
154,Hadoop,Often
154,Jupyter,Most of the time
154,Python,Most of the time
155,GCP,Sometimes
155,Jupyter,Most of the time
155,Python,Most of the time
155,Tensor_Flow,Often
156,R,Most of the time
156,Tableau,Most of the time
157,Python,Most of the time
157,Tensor_Flow,Most of the time
158,AWS,Rarely
158,C,Sometimes
158,Java,Sometimes
158,Jupyter,Most of the time
158,Python,Most of the time
158,SQL,Sometimes
158,Tensor_Flow,Most of the time
159,AWS,Most of the time
159,C,Sometimes
159,Julia,Rarely
159,Jupyter,Most of the time
159,MATLAB,Rarely
159,Python,Most of the time
159,SQL,Most of the time
159,Tensor_Flow,Sometimes
160,AWS,Sometimes
160,C,Often
160,GCP,Sometimes
160,Jupyter,Sometimes
160,Python,Most of the time
160,Tensor_Flow,Sometimes
160,Unix,Most of the time
161,Java,Often
161,Python,Often
161,Tensor_Flow,Most of the time
161,Unix,Often
161,Select1,Often
162,C,Most of the time
162,Cloudera,Sometimes
162,Hadoop,Sometimes
162,IBMSPSSStatistics,Sometimes
162,No_SQL,Sometimes
162,Python,Often
162,R,Often
162,SASJMP,Often
162,Spark,Often
162,Statistica,Most of the time
162,TIBCO,Most of the time
163,Hadoop,Most of the time
163,IBMWatson,Sometimes
163,Java,Most of the time
163,Jupyter,Often
163,MATLAB,Sometimes
163,Python,Often
163,R,Sometimes
163,SQL,Often
163,Tensor_Flow,Sometimes
163,Unix,Often
164,Qlik,Most of the time
164,R,Sometimes
164,SASEnterprise,Sometimes
165,GCP,Most of the time
165,Hadoop,Most of the time
165,Jupyter,Often
165,Python,Most of the time
165,Spark,Most of the time
165,SQL,Sometimes
165,Tensor_Flow,Sometimes
166,Amazon_ML,Rarely
166,AWS,Rarely
166,C,Most of the time
166,Cloudera,Rarely
166,Hadoop,Rarely
166,Python,Most of the time
166,R,Most of the time
166,Spark,Sometimes
166,SQL,Most of the time
166,Tableau,Sometimes
167,Python,Often
167,R,Sometimes
167,SASBase,Most of the time
168,Java,Most of the time
168,Mathematica,Rarely
168,MATLAB,Rarely
168,Microsoft_SQL,Rarely
168,Python,Sometimes
168,R,Often
168,Rapid_Miner_Commercial,Rarely
168,SASEnterprise,Rarely
168,SQL,Sometimes
169,Jupyter,Sometimes
169,Azure,Often
169,Microsoft_RServer,Sometimes
169,R,Most of the time
169,SQL,Often
170,C,Sometimes
170,GCP,Sometimes
170,Jupyter,Most of the time
170,Excel,Rarely
170,Minitab,Rarely
170,Python,Most of the time
170,Spark,Sometimes
170,SQL,Most of the time
171,IBMCognos,Sometimes
171,IBMSPSSModeler,Often
171,IBMSPSSStatistics,Often
171,Minitab,Sometimes
171,Qlik,Most of the time
171,R,Sometimes
171,SASBase,Sometimes
171,SASEnterprise,Sometimes
171,SQL,Sometimes
172,Jupyter,Rarely
172,MATLAB,Most of the time
172,Perl,Rarely
172,Python,Rarely
172,Tensor_Flow,Sometimes
172,Unix,Often
173,Java,Sometimes
173,Jupyter,Most of the time
173,MATLAB,Rarely
173,Python,Most of the time
173,SQL,Rarely
173,Tensor_Flow,Sometimes
174,Rapid_Miner_Commercial,Most of the time
174,Stan,Most of the time
175,R,Sometimes
176,GCP,Most of the time
176,Jupyter,Most of the time
176,No_SQL,Most of the time
176,Python,Most of the time
176,R,Rarely
176,Spark,Rarely
176,Unix,Often
177,R,Most of the time
177,Tableau,Often
178,Java,Most of the time
178,Jupyter,Sometimes
178,Azure,Often
178,No_SQL,Most of the time
178,Python,Sometimes
178,R,Most of the time
179,KNIMEFree,Most of the time
179,Oracle,Often
179,Python,Sometimes
179,R,Most of the time
179,SQL,Most of the time
179,Tableau,Sometimes
180,AWS,Sometimes
180,Jupyter,Sometimes
180,Python,Often
180,Tensor_Flow,Sometimes
181,Hadoop,Most of the time
181,Jupyter,Most of the time
181,Azure,Sometimes
181,Python,Most of the time
181,Rapid_Miner_Commercial,Sometimes
181,Spark,Most of the time
181,SQL,Most of the time
182,Jupyter,Often
182,Perl,Sometimes
182,Python,Often
182,R,Most of the time
182,SQL,Most of the time
182,Tableau,Rarely
182,Unix,Most of the time
183,C,Rarely
183,Jupyter,Often
183,MATLAB,Often
183,Python,Most of the time
183,R,Often
183,Unix,Most of the time
184,AWS,Often
184,GCP,Sometimes
184,Jupyter,Most of the time
184,Python,Most of the time
184,SQL,Rarely
184,Tensor_Flow,Often
185,Amazon_ML,Sometimes
185,Jupyter,Most of the time
185,Python,Most of the time
185,Tableau,Often
185,Tensor_Flow,Sometimes
185,Unix,Sometimes
186,Excel,Often
186,Python,Rarely
186,R,Rarely
186,SQL,Most of the time
187,Cloudera,Sometimes
187,Flume,Sometimes
187,Hadoop,Sometimes
187,Jupyter,Most of the time
187,KNIMEFree,Most of the time
187,Python,Most of the time
187,Rapid_Miner_Free,Most of the time
187,Spark,Sometimes
188,C,Rarely
188,Java,Sometimes
188,Jupyter,Rarely
188,Python,Often
188,R,Most of the time
188,SQL,Most of the time
188,Unix,Most of the time
188,Select1,Often
189,C,Sometimes
189,Python,Most of the time
189,R,Most of the time
189,SASBase,Often
189,SQL,Often
190,Python,Often
191,AWS,Sometimes
191,IBMWatson,Sometimes
191,Jupyter,Often
191,Azure,Sometimes
191,Python,Most of the time
191,SQL,Sometimes
191,Unix,Sometimes
192,MATLAB,Sometimes
192,Excel,Most of the time
192,Python,Sometimes
192,SQL,Sometimes
192,Tableau,Sometimes
193,MATLAB,Often
193,Python,Most of the time
193,R,Sometimes
193,Tensor_Flow,Often
194,R,Sometimes
194,SASEnterprise,Most of the time
194,SQL,Most of the time
195,Excel,Rarely
195,R,Rarely
195,SASBase,Most of the time
195,SASEnterprise,Often
196,Hadoop,Sometimes
196,MATLAB,Often
196,Excel,Often
196,Python,Most of the time
196,R,Often
197,Python,Most of the time
198,AWS,Most of the time
198,Python,Often
198,SQL,Often
198,Tableau,Rarely
199,R,Often
199,SQL,Sometimes
200,Amazon_ML,Rarely
200,R,Most of the time
200,SQL,Most of the time
201,Oracle,Most of the time
202,Java,Often
202,Perl,Sometimes
202,Python,Often
202,R,Most of the time
202,SASEnterprise,Rarely
203,R,Often
203,SQL,Most of the time
204,Python,Most of the time
205,Python,Most of the time
205,R,Most of the time
206,Cloudera,Rarely
206,Hadoop,Rarely
206,Java,Most of the time
206,Jupyter,Often
206,MATLAB,Sometimes
206,No_SQL,Sometimes
206,Python,Most of the time
206,R,Most of the time
206,Rapid_Miner_Free,Rarely
206,Spark,Rarely
206,SQL,Most of the time
207,C,Often
207,Jupyter,Often
207,MATLAB,Often
207,Python,Often
207,Tensor_Flow,Often
208,R,Sometimes
208,Tableau,Most of the time
209,C,Sometimes
209,Cloudera,Often
209,Hadoop,Often
209,Java,Often
209,Jupyter,Most of the time
209,MATLAB,Sometimes
209,No_SQL,Often
209,Python,Most of the time
209,R,Sometimes
209,Spark,Sometimes
209,SQL,Often
209,Tensor_Flow,Sometimes
209,Unix,Most of the time
210,Jupyter,Most of the time
210,Python,Most of the time
210,Tensor_Flow,Most of the time
211,AWS,Most of the time
211,Jupyter,Most of the time
211,Python,Most of the time
211,SQL,Sometimes
211,Tableau,Most of the time
212,AWS,Most of the time
212,Impala,Most of the time
212,Microsoft_SQL,Most of the time
212,Python,Sometimes
212,R,Sometimes
212,SQL,Most of the time
212,Tableau,Often
213,IBMSPSSStatistics,Most of the time
213,Excel,Often
213,Select1,Often
214,Python,Most of the time
214,R,Sometimes
214,Tableau,Most of the time
214,TIBCO,Sometimes
215,Hadoop,Rarely
215,Jupyter,Often
215,KNIMEFree,Rarely
215,MATLAB,Often
215,Python,Often
215,SQL,Often
215,Tensor_Flow,Often
216,AWS,Often
216,Julia,Sometimes
216,Jupyter,Most of the time
216,Microsoft_RServer,Most of the time
216,Python,Sometimes
216,R,Most of the time
216,SQL,Often
216,Tensor_Flow,Sometimes
216,Unix,Most of the time
217,IBMWatson,Rarely
217,Azure,Sometimes
217,Excel,Most of the time
217,Qlik,Rarely
217,R,Most of the time
217,Tableau,Often
218,Jupyter,Often
218,KNIMEFree,Sometimes
218,Mathematica,Sometimes
218,MATLAB,Sometimes
218,Excel,Sometimes
