id,WorkDatasetSize,WorkMethodsFrequency,Frequency
235,100TB,A/B,NA
236,10GB,A/B,Rarely
237,1TB,A/B,Often
238,100MB,A/B,NA
239,10TB,A/B,Often
240,10GB,A/B,NA
241,10TB,A/B,Most of the time
242,<1MB,A/B,NA
243,1TB,A/B,Often
244,NA,A/B,NA
245,100GB,A/B,Often
246,100MB,A/B,NA
247,NA,A/B,NA
248,10GB,A/B,NA
249,NA,A/B,NA
250,NA,A/B,NA
251,1GB,A/B,NA
252,100MB,A/B,NA
253,100MB,A/B,NA
254,100GB,A/B,NA
255,100MB,A/B,Rarely
256,1TB,A/B,NA
257,1GB,A/B,NA
258,1GB,A/B,NA
259,NA,A/B,Sometimes
260,1GB,A/B,NA
261,10GB,A/B,NA
262,100MB,A/B,Rarely
263,10MB,A/B,NA
264,100MB,A/B,Sometimes
265,1GB,A/B,NA
266,10TB,A/B,Rarely
267,100MB,A/B,NA
268,100GB,A/B,NA
269,1TB,A/B,NA
270,1MB,A/B,NA
271,1TB,A/B,Often
272,10MB,A/B,NA
273,10TB,A/B,NA
274,10MB,A/B,NA
275,NA,A/B,NA
276,1GB,A/B,NA
277,1TB,A/B,NA
278,10GB,A/B,Sometimes
279,10GB,A/B,NA
280,10GB,A/B,NA
281,10GB,A/B,NA
282,1GB,A/B,NA
283,10GB,A/B,Rarely
284,10MB,A/B,NA
285,100TB,A/B,Sometimes
286,NA,A/B,Often
287,10GB,A/B,Sometimes
288,100GB,A/B,Often
289,1GB,A/B,NA
290,10GB,A/B,Often
291,10GB,A/B,Often
292,10GB,A/B,NA
293,<1MB,A/B,NA
294,NA,A/B,NA
295,100TB,A/B,NA
296,1GB,A/B,NA
297,10GB,A/B,NA
298,10GB,A/B,Sometimes
299,1GB,A/B,NA
300,1MB,A/B,NA
301,10GB,A/B,Often
302,100MB,A/B,Sometimes
303,10MB,A/B,NA
304,100GB,A/B,Often
305,1GB,A/B,NA
306,10GB,A/B,NA
307,1GB,A/B,Rarely
308,10GB,A/B,NA
309,100MB,A/B,NA
310,<1MB,A/B,NA
311,10TB,A/B,NA
312,1GB,A/B,NA
313,10GB,A/B,NA
314,100MB,A/B,Sometimes
315,1TB,A/B,Often
316,10GB,A/B,Often
317,1GB,A/B,NA
318,10MB,A/B,Rarely
319,100MB,A/B,NA
320,100MB,A/B,Often
321,NA,A/B,Often
322,10GB,A/B,Often
323,100MB,A/B,NA
324,10MB,A/B,Rarely
325,10GB,A/B,NA
326,100MB,A/B,NA
327,100MB,A/B,Sometimes
328,10GB,A/B,NA
329,10MB,A/B,NA
330,1GB,A/B,NA
331,1GB,A/B,NA
332,NA,A/B,NA
333,1GB,A/B,NA
334,10MB,A/B,NA
335,10GB,A/B,Sometimes
336,1GB,A/B,NA
337,100GB,A/B,NA
338,100MB,A/B,NA
339,1GB,A/B,Often
340,100MB,A/B,NA
341,100MB,A/B,NA
342,100GB,A/B,NA
343,10GB,A/B,NA
344,100MB,A/B,NA
345,100GB,A/B,NA
346,1GB,A/B,NA
347,10GB,A/B,NA
348,1GB,A/B,NA
349,100GB,A/B,NA
350,1GB,A/B,NA
351,10GB,A/B,NA
352,1GB,A/B,NA
353,10TB,A/B,NA
354,100GB,A/B,NA
355,100MB,A/B,NA
356,100MB,A/B,Sometimes
357,1GB,A/B,NA
358,10MB,A/B,NA
359,1GB,A/B,NA
360,NA,A/B,NA
361,100GB,A/B,NA
362,100GB,A/B,Sometimes
363,1GB,A/B,NA
364,NA,A/B,NA
365,100GB,A/B,NA
366,1GB,A/B,NA
367,1GB,A/B,NA
368,10GB,A/B,NA
369,1TB,A/B,NA
370,100MB,A/B,NA
371,10MB,A/B,NA
372,<1MB,A/B,NA
373,1TB,A/B,NA
374,1GB,A/B,NA
375,10GB,A/B,NA
376,1TB,A/B,NA
377,1GB,A/B,NA
378,100MB,A/B,NA
379,100MB,A/B,NA
380,10MB,A/B,NA
381,100MB,A/B,NA
382,10GB,A/B,Often
383,10GB,A/B,Sometimes
384,1GB,A/B,NA
385,100GB,A/B,NA
386,1GB,A/B,Often
387,1GB,A/B,NA
388,10GB,A/B,NA
389,1TB,A/B,Sometimes
390,100MB,A/B,NA
391,10GB,A/B,NA
392,100GB,A/B,NA
393,100MB,A/B,NA
394,10GB,A/B,NA
395,NA,A/B,NA
396,1GB,A/B,NA
397,100GB,A/B,NA
398,1GB,A/B,NA
399,100GB,A/B,NA
400,1GB,A/B,Often
401,10GB,A/B,Rarely
402,1TB,A/B,NA
403,1GB,A/B,NA
404,1GB,A/B,NA
405,1GB,A/B,NA
406,10GB,A/B,Sometimes
407,1GB,A/B,Sometimes
408,1MB,A/B,NA
409,100MB,A/B,NA
410,10GB,A/B,Often
411,10MB,A/B,NA
412,100MB,A/B,Rarely
413,1GB,A/B,NA
414,10MB,A/B,Sometimes
415,100MB,A/B,NA
416,10GB,A/B,NA
417,10GB,A/B,NA
418,10GB,A/B,NA
419,1GB,A/B,NA
420,100MB,A/B,Sometimes
421,10MB,A/B,Often
422,100MB,A/B,NA
423,1TB,A/B,NA
424,1GB,A/B,NA
425,100MB,A/B,NA
426,10MB,A/B,NA
427,100GB,A/B,NA
428,1GB,A/B,NA
429,NA,A/B,NA
430,10GB,A/B,NA
431,NA,A/B,NA
432,10GB,A/B,NA
433,10MB,A/B,NA
434,1GB,A/B,NA
435,<1MB,A/B,NA
436,1GB,A/B,NA
437,1EB,A/B,NA
438,100MB,A/B,NA
439,NA,A/B,NA
440,NA,A/B,NA
441,1GB,A/B,NA
442,100MB,A/B,NA
443,1TB,A/B,NA
444,10GB,A/B,NA
445,1TB,A/B,NA
446,10GB,A/B,NA
447,100MB,A/B,Rarely
448,100MB,A/B,NA
449,1TB,A/B,NA
450,10GB,A/B,Most of the time
451,10GB,A/B,NA
452,10GB,A/B,NA
453,1GB,A/B,NA
454,NA,A/B,NA
455,100MB,A/B,NA
456,1GB,A/B,NA
457,100GB,A/B,NA
458,10GB,A/B,NA
459,1GB,A/B,NA
460,10GB,A/B,NA
461,10GB,A/B,NA
462,100MB,A/B,NA
463,1GB,A/B,Often
464,NA,A/B,Often
465,10GB,A/B,NA
466,1GB,A/B,NA
467,1TB,A/B,NA
468,1GB,A/B,Sometimes
469,100MB,A/B,Often
470,10GB,A/B,Sometimes
471,1TB,A/B,NA
472,10MB,A/B,NA
473,NA,A/B,NA
474,100GB,A/B,Often
475,10GB,A/B,Often
476,100GB,A/B,NA
477,10GB,A/B,NA
478,10GB,A/B,NA
479,10GB,A/B,NA
480,100MB,A/B,NA
481,100MB,A/B,NA
482,1GB,A/B,NA
483,1GB,A/B,NA
484,1GB,A/B,Often
485,10GB,A/B,NA
486,100GB,A/B,NA
487,1MB,A/B,NA
488,10TB,A/B,Often
489,100GB,A/B,NA
490,100MB,A/B,NA
491,100GB,A/B,NA
492,100MB,A/B,Rarely
493,10GB,A/B,NA
494,1TB,A/B,NA
495,1GB,A/B,NA
496,1GB,A/B,NA
497,100MB,A/B,Rarely
498,10GB,A/B,NA
499,1GB,A/B,NA
500,1GB,A/B,NA
501,NA,A/B,Most of the time
502,100MB,A/B,NA
503,10GB,A/B,NA
504,<1MB,A/B,NA
505,10GB,A/B,Rarely
506,100MB,A/B,NA
507,<1MB,A/B,NA
508,10MB,A/B,NA
509,10GB,A/B,NA
510,1GB,A/B,Sometimes
511,NA,A/B,NA
512,10GB,A/B,Often
513,1TB,A/B,NA
514,10GB,A/B,NA
515,10GB,A/B,NA
516,1GB,A/B,NA
517,1GB,A/B,NA
518,10GB,A/B,NA
519,1GB,A/B,NA
520,1GB,A/B,Sometimes
521,10GB,A/B,NA
522,NA,A/B,NA
523,100GB,A/B,NA
524,100MB,A/B,NA
525,10MB,A/B,NA
526,10MB,A/B,Sometimes
527,1TB,A/B,Rarely
528,100MB,A/B,Sometimes
529,100GB,A/B,NA
530,100MB,A/B,NA
531,10GB,A/B,NA
532,<1MB,A/B,NA
533,NA,A/B,NA
534,1GB,A/B,NA
535,100MB,A/B,NA
536,NA,A/B,NA
537,100MB,A/B,NA
538,100MB,A/B,NA
539,100GB,A/B,NA
540,NA,A/B,NA
541,1GB,A/B,NA
542,100GB,A/B,NA
543,10GB,A/B,NA
544,100GB,A/B,NA
545,10GB,A/B,NA
546,10MB,A/B,NA
547,100MB,A/B,Rarely
548,NA,A/B,NA
549,10GB,A/B,Often
550,100GB,A/B,NA
551,100MB,A/B,NA
552,1MB,A/B,NA
553,NA,A/B,NA
554,100MB,A/B,NA
555,10GB,A/B,Often
556,100MB,A/B,Rarely
557,100TB,A/B,NA
558,1GB,A/B,NA
559,10GB,A/B,NA
560,10GB,A/B,Often
561,1TB,A/B,NA
562,100MB,A/B,NA
563,100MB,A/B,NA
564,NA,A/B,NA
565,100GB,A/B,NA
566,<1MB,A/B,NA
567,1GB,A/B,Often
568,NA,A/B,NA
569,NA,A/B,NA
570,10GB,A/B,NA
571,NA,A/B,Sometimes
572,100GB,A/B,NA
573,100MB,A/B,NA
574,10MB,A/B,Often
575,NA,A/B,NA
576,10MB,A/B,NA
577,1GB,A/B,Most of the time
578,NA,A/B,NA
579,1GB,A/B,Often
580,100GB,A/B,Often
581,100MB,A/B,NA
582,1PB,A/B,Sometimes
583,10GB,A/B,NA
584,100GB,A/B,NA
585,100MB,A/B,NA
586,10MB,A/B,NA
587,100GB,A/B,Sometimes
588,100GB,A/B,NA
589,100TB,A/B,NA
590,10GB,A/B,NA
591,1GB,A/B,NA
592,100MB,A/B,NA
593,10GB,A/B,NA
594,100MB,A/B,NA
595,1GB,A/B,NA
596,1GB,A/B,NA
597,100MB,A/B,NA
598,100MB,A/B,NA
599,100GB,A/B,Often
600,100GB,A/B,Often
601,1GB,A/B,Often
602,1GB,A/B,NA
603,1GB,A/B,NA
604,<1MB,A/B,NA
605,10GB,A/B,NA
606,10GB,A/B,NA
607,10MB,A/B,NA
608,1GB,A/B,NA
609,10GB,A/B,NA
610,10TB,A/B,NA
611,10GB,A/B,NA
612,1GB,A/B,Often
613,10MB,A/B,Sometimes
614,100MB,A/B,NA
615,NA,A/B,NA
616,1GB,A/B,NA
617,100MB,A/B,NA
618,1GB,A/B,NA
619,100MB,A/B,NA
620,1GB,A/B,Rarely
621,10GB,A/B,NA
622,1TB,A/B,Often
623,10GB,A/B,NA
624,100MB,A/B,NA
625,<1MB,A/B,NA
626,10TB,A/B,NA
627,1GB,A/B,Often
628,10GB,A/B,NA
629,100MB,A/B,Often
630,NA,A/B,Often
631,100MB,A/B,NA
632,1TB,A/B,NA
633,100MB,A/B,NA
634,100GB,A/B,NA
635,10GB,A/B,NA
636,10GB,A/B,NA
637,1GB,A/B,NA
638,1GB,A/B,NA
639,100GB,A/B,NA
640,1TB,A/B,Most of the time
641,NA,A/B,NA
642,100GB,A/B,Most of the time
643,10GB,A/B,NA
644,1MB,A/B,Sometimes
645,10MB,A/B,Often
646,10GB,A/B,Rarely
647,100MB,A/B,NA
648,100MB,A/B,Most of the time
649,10GB,A/B,NA
650,10MB,A/B,Sometimes
651,100MB,A/B,NA
652,NA,A/B,NA
653,1GB,A/B,NA
654,10MB,A/B,NA
655,100GB,A/B,NA
656,100MB,A/B,NA
657,1GB,A/B,NA
658,10GB,A/B,NA
659,1TB,A/B,NA
660,100GB,A/B,Sometimes
661,100GB,A/B,NA
662,10GB,A/B,NA
663,100MB,A/B,Often
664,100GB,A/B,NA
665,1GB,A/B,NA
666,10GB,A/B,NA
667,1GB,A/B,NA
668,1TB,A/B,NA
669,10MB,A/B,NA
670,NA,A/B,NA
671,NA,A/B,NA
672,1GB,A/B,NA
673,1MB,A/B,NA
674,10GB,A/B,NA
675,1MB,A/B,NA
676,100GB,A/B,NA
677,10GB,A/B,NA
678,100MB,A/B,NA
679,1MB,A/B,NA
680,1GB,A/B,NA
681,100MB,A/B,Sometimes
682,100MB,A/B,NA
683,1GB,A/B,Often
684,10PB,A/B,NA
685,100MB,A/B,NA
686,NA,A/B,NA
687,10TB,A/B,NA
688,10GB,A/B,Rarely
689,1TB,A/B,NA
690,100PB,A/B,NA
691,<1MB,A/B,NA
692,1GB,A/B,Often
693,1GB,A/B,Sometimes
694,1MB,A/B,Often
695,10GB,A/B,Often
696,10GB,A/B,NA
697,100MB,A/B,NA
698,10GB,A/B,Sometimes
699,10GB,A/B,Most of the time
700,1GB,A/B,NA
701,100MB,A/B,Sometimes
702,100GB,A/B,NA
703,100GB,A/B,NA
704,1GB,A/B,Most of the time
705,100MB,A/B,NA
706,1GB,A/B,NA
707,1GB,A/B,NA
708,100MB,A/B,NA
709,100MB,A/B,Most of the time
710,10GB,A/B,NA
711,100GB,A/B,NA
712,10TB,A/B,NA
713,100MB,A/B,NA
714,NA,A/B,NA
715,1GB,A/B,NA
716,10GB,A/B,Sometimes
717,1GB,A/B,NA
718,10MB,A/B,NA
719,10MB,A/B,NA
720,1TB,A/B,NA
721,100MB,A/B,NA
722,1TB,A/B,NA
723,10GB,A/B,NA
724,10GB,A/B,Sometimes
725,100GB,A/B,NA
726,10GB,A/B,NA
727,10GB,A/B,NA
728,<1MB,A/B,Most of the time
729,100MB,A/B,Sometimes
730,10GB,A/B,NA
731,10GB,A/B,NA
732,1GB,A/B,NA
733,1TB,A/B,NA
734,1GB,A/B,Sometimes
735,1MB,A/B,NA
736,1GB,A/B,NA
737,100GB,A/B,Rarely
738,1GB,A/B,NA
739,1GB,A/B,Sometimes
740,1GB,A/B,NA
741,100MB,A/B,NA
742,<1MB,A/B,NA
743,10MB,A/B,NA
744,1MB,A/B,NA
745,1TB,A/B,NA
746,<1MB,A/B,NA
747,10TB,A/B,NA
748,NA,A/B,NA
749,10MB,A/B,NA
750,<1MB,A/B,NA
751,10GB,A/B,NA
752,NA,A/B,NA
753,100MB,A/B,NA
754,100GB,A/B,NA
755,10GB,A/B,NA
756,10MB,A/B,NA
757,1GB,A/B,NA
758,10GB,A/B,Most of the time
759,10MB,A/B,Sometimes
760,100MB,A/B,NA
761,100TB,A/B,NA
762,100GB,A/B,NA
763,1GB,A/B,Most of the time
764,1PB,A/B,NA
765,10TB,A/B,NA
766,100MB,A/B,NA
767,10GB,A/B,NA
768,1TB,A/B,NA
769,100MB,A/B,NA
770,1GB,A/B,NA
771,10GB,A/B,NA
772,1GB,A/B,NA
773,100MB,A/B,NA
774,100GB,A/B,NA
775,100MB,A/B,NA
776,1GB,A/B,NA
777,100MB,A/B,NA
778,10MB,A/B,NA
779,1GB,A/B,NA
780,100MB,A/B,Often
781,10GB,A/B,NA
782,100MB,A/B,NA
783,100MB,A/B,NA
784,<1MB,A/B,NA
785,NA,A/B,NA
786,10GB,A/B,NA
787,100MB,A/B,Rarely
788,10GB,A/B,NA
789,100MB,A/B,NA
790,10GB,A/B,Rarely
791,1GB,A/B,NA
792,10GB,A/B,Sometimes
793,10GB,A/B,Often
794,10GB,A/B,NA
795,<1MB,A/B,Sometimes
796,100MB,A/B,NA
797,1GB,A/B,NA
798,10MB,A/B,NA
799,10GB,A/B,Sometimes
800,100TB,A/B,NA
801,10GB,A/B,NA
802,100GB,A/B,NA
803,10GB,A/B,NA
804,100MB,A/B,NA
805,10GB,A/B,NA
806,100MB,A/B,NA
807,NA,A/B,NA
808,NA,A/B,NA
809,100GB,A/B,NA
810,1TB,A/B,NA
811,NA,A/B,NA
812,10GB,A/B,NA
813,10GB,A/B,NA
814,1GB,A/B,Most of the time
815,10GB,A/B,NA
816,NA,A/B,NA
817,10GB,A/B,NA
818,100GB,A/B,NA
819,100GB,A/B,NA
820,100GB,A/B,NA
821,10GB,A/B,Sometimes
822,100GB,A/B,NA
823,1TB,A/B,NA
824,1GB,A/B,NA
825,10GB,A/B,NA
826,1TB,A/B,NA
827,10TB,A/B,NA
828,100GB,A/B,Often
829,100GB,A/B,Sometimes
830,10MB,A/B,NA
831,100GB,A/B,NA
832,1GB,A/B,NA
833,1GB,A/B,NA
834,10GB,A/B,NA
835,1GB,A/B,NA
836,1TB,A/B,NA
837,<1MB,A/B,Sometimes
838,10MB,A/B,NA
839,10TB,A/B,Sometimes
840,NA,A/B,NA
841,NA,A/B,NA
842,1MB,A/B,NA
843,10MB,A/B,NA
844,10GB,A/B,NA
845,10GB,A/B,NA
846,1GB,A/B,NA
847,NA,A/B,NA
848,1GB,A/B,NA
849,1GB,A/B,NA
850,10GB,A/B,Sometimes
851,1GB,A/B,Most of the time
852,100MB,A/B,NA
853,100MB,A/B,NA
854,100GB,A/B,NA
855,1GB,A/B,NA
856,10GB,A/B,NA
857,100MB,A/B,NA
858,10GB,A/B,NA
859,1MB,A/B,Most of the time
860,100MB,A/B,NA
861,1GB,A/B,Often
862,1TB,A/B,NA
863,100GB,A/B,NA
864,1GB,A/B,NA
865,10GB,A/B,NA
866,10MB,A/B,Most of the time
867,10GB,A/B,Often
868,10MB,A/B,NA
869,10GB,A/B,Sometimes
870,100MB,A/B,NA
871,100GB,A/B,NA
872,1GB,A/B,Often
873,10GB,A/B,NA
874,10GB,A/B,NA
875,1MB,A/B,NA
876,100GB,A/B,NA
877,10MB,A/B,NA
878,100MB,A/B,NA
879,10MB,A/B,Sometimes
880,10MB,A/B,NA
881,100GB,A/B,NA
882,10MB,A/B,NA
883,1GB,A/B,NA
884,10MB,A/B,NA
885,1MB,A/B,NA
886,10GB,A/B,Sometimes
887,NA,A/B,NA
888,100GB,A/B,NA
889,10GB,A/B,NA
890,100MB,A/B,NA
891,1TB,A/B,Most of the time
892,1GB,A/B,NA
893,100MB,A/B,NA
894,<1MB,A/B,NA
895,1GB,A/B,NA
896,NA,A/B,Rarely
897,<1MB,A/B,NA
898,1GB,A/B,NA
899,100MB,A/B,NA
900,100GB,A/B,NA
901,10MB,A/B,NA
902,100GB,A/B,NA
903,1TB,A/B,NA
904,100MB,A/B,Sometimes
905,NA,A/B,NA
906,NA,A/B,NA
907,10GB,A/B,NA
908,10GB,A/B,NA
909,10GB,A/B,NA
910,1GB,A/B,NA
911,1GB,A/B,NA
912,100GB,A/B,NA
913,1GB,A/B,NA
914,100MB,A/B,NA
915,10TB,A/B,NA
916,1GB,A/B,NA
917,100MB,A/B,NA
918,1GB,A/B,NA
919,10GB,A/B,NA
920,10GB,A/B,Sometimes
921,1GB,A/B,NA
922,10GB,A/B,NA
923,100GB,A/B,NA
924,1GB,A/B,NA
925,10GB,A/B,NA
926,100MB,A/B,Often
927,1TB,A/B,Rarely
928,1GB,A/B,NA
929,100GB,A/B,NA
930,100MB,A/B,NA
931,10MB,A/B,NA
932,10GB,A/B,NA
933,10GB,A/B,NA
934,1GB,A/B,NA
935,1GB,A/B,NA
936,10GB,A/B,NA
937,100GB,A/B,NA
938,NA,A/B,NA
939,10MB,A/B,NA
940,1GB,A/B,NA
941,1GB,A/B,NA
942,100MB,A/B,NA
943,1MB,A/B,NA
944,1GB,A/B,NA
945,10GB,A/B,NA
946,100MB,A/B,NA
947,100MB,A/B,NA
948,10GB,A/B,NA
949,1GB,A/B,NA
950,100GB,A/B,NA
951,1GB,A/B,NA
952,10GB,A/B,NA
953,1TB,A/B,Most of the time
954,10MB,A/B,Sometimes
955,NA,A/B,Sometimes
956,100GB,A/B,NA
957,10GB,A/B,NA
958,100MB,A/B,Sometimes
959,100MB,A/B,Sometimes
960,100GB,A/B,Often
961,NA,A/B,NA
962,<1MB,A/B,NA
963,NA,A/B,NA
964,1TB,A/B,Sometimes
965,NA,A/B,NA
966,10TB,A/B,NA
967,10MB,A/B,NA
968,10GB,A/B,NA
969,1GB,A/B,NA
970,100GB,A/B,NA
971,100MB,A/B,Sometimes
972,100MB,A/B,Most of the time
973,1GB,A/B,Rarely
974,100MB,A/B,NA
975,10GB,A/B,NA
976,NA,A/B,NA
977,10MB,A/B,NA
978,1TB,A/B,NA
979,10GB,A/B,NA
980,100GB,A/B,Sometimes
981,10GB,A/B,NA
982,10GB,A/B,NA
983,<1MB,A/B,NA
984,1GB,A/B,Sometimes
985,100GB,A/B,Most of the time
986,100MB,A/B,Often
987,10MB,A/B,NA
988,1GB,A/B,NA
989,100MB,A/B,NA
990,1TB,A/B,NA
991,10GB,A/B,NA
992,10GB,A/B,NA
993,10GB,A/B,NA
994,1GB,A/B,NA
995,100MB,A/B,NA
996,100MB,A/B,Rarely
997,1MB,A/B,NA
998,NA,A/B,NA
999,NA,A/B,NA
1000,100MB,A/B,NA
1001,1GB,A/B,NA
1002,1GB,A/B,NA
1003,<1MB,A/B,NA
1004,NA,A/B,NA
1005,100MB,A/B,Sometimes
1006,100MB,A/B,NA
1007,NA,A/B,NA
1008,NA,A/B,Rarely
1009,10GB,A/B,Sometimes
1010,10GB,A/B,NA
1011,10GB,A/B,NA
1012,10MB,A/B,Sometimes
1013,100MB,A/B,NA
1014,10GB,A/B,NA
1015,<1MB,A/B,NA
1016,<1MB,A/B,NA
1017,100TB,A/B,NA
1018,10GB,A/B,NA
1019,10GB,A/B,NA
1020,1MB,A/B,NA
1021,1GB,A/B,NA
1022,1GB,A/B,Sometimes
1023,NA,A/B,Rarely
1024,100MB,A/B,NA
1025,1TB,A/B,NA
1026,100MB,A/B,NA
1027,1GB,A/B,NA
1028,100MB,A/B,NA
1029,NA,A/B,Sometimes
1030,1GB,A/B,NA
1031,<1MB,A/B,NA
1032,10MB,A/B,NA
1033,NA,A/B,NA
1034,1GB,A/B,NA
1035,1GB,A/B,Sometimes
1036,10MB,A/B,NA
1037,100GB,A/B,NA
1038,100GB,A/B,NA
1039,NA,A/B,NA
1040,1GB,A/B,Sometimes
1041,10GB,A/B,NA
1042,1MB,A/B,NA
1043,10MB,A/B,NA
